interval_m,seed,set_id,kappa,kr_hat,P32_hat
1,14,3,11.57,3.167,0.6913023666774459
1,14,5,24.0,3.967,1.0522485787285958
2,14,1,15.13,2.567,0.8705903683868684
2,14,2,17.37,3.3,0.5341497339500588
2,14,3,13.15,2.9,0.6923471586725981
2,14,5,25.94,4.033,0.9598110470881651
3,14,1,16.21,2.567,0.9186829624164959
3,14,2,16.07,3.5,0.7571167139702034
3,14,3,12.62,3.1,0.5977376273994726
3,14,5,25.86,3.9,0.7656949919808451
6,14,1,17.69,2.567,1.0324150617558794
6,14,2,17.67,3.233,0.8096335018227591
6,14,3,12.27,2.833,0.701366765800429
6,14,5,25.3,3.5,0.9249800517763188
1,15,1,15.73,2.633,0.7797630940920093
1,15,2,16.83,2.767,0.7650397929007052
1,15,3,12.04,2.633,1.2681601172905612
1,15,5,22.39,3.3,1.1185075806639837
0.5,15,1,15.33,2.7,0.7316761170206441
0.5,15,2,18.16,2.633,0.877063660121138
0.5,15,3,12.38,2.633,1.3697947483937658
0.5,15,5,22.1,3.3,1.283358535838423
2,15,1,14.71,2.767,0.7990783188224068
2,15,2,17.65,3.033,0.9115295654167107
2,15,3,10.86,2.5,1.206016122015895
2,15,5,24.13,3.167,0.988047331013465
3,15,1,14.47,2.767,0.6763589153484421
3,15,2,17.37,2.767,1.0257810160444996
3,15,3,11.02,2.567,1.103089990223665
3,15,5,25.82,3.233,0.7949647260821537
6,15,1,14.29,2.833,0.7692321841748326
6,15,2,16.07,2.767,1.1284986730232622
6,15,3,10.06,2.7,1.0640416900093348
6,15,5,22.62,3.233,0.9055869135503147
0.5,16,1,16.41,2.967,0.7336256972894957
0.5,16,2,15.41,2.767,1.1497965797342509
0.5,16,3,12.93,3.567,0.7040638063211513
0.5,16,5,21.87,3.633,0.8378398892130591
1,16,1,15.02,2.967,0.7342270287283297
1,16,2,14.0,2.833,0.9353014895059008
1,16,3,10.94,3.5,0.6201291425165593
1,16,5,22.93,3.767,0.8475896830315796
2,16,1,15.3,2.833,0.9113131358418268
2,16,2,16.78,2.9,0.7506521273737229
2,16,3,11.21,2.9,0.7406190996266492
2,16,5,23.49,3.767,0.7627057478756415
3,16,1,15.62,2.7,0.8964102047823724
3,16,2,14.95,2.833,0.6943204621073501
3,16,3,11.04,2.833,0.9235001792333211
3,16,5,21.89,3.633,0.7974684547672489
6,16,1,14.65,2.7,0.9387394849519839
6,16,2,18.52,2.567,0.8479266462660504
6,16,3,13.45,2.967,0.996840497877042
6,16,5,22.23,3.567,0.7802264038921864
0.5,17,1,16.0,2.367,0.8544930586807769
0.5,17,2,19.26,3.433,0.8047804700998314
0.5,17,3,13.96,2.633,1.2809370444951587
0.5,17,5,23.26,3.767,1.0658051192517775
2,17,1,14.31,2.433,0.9945869853368849
2,17,2,18.36,2.967,0.5022553187618674
2,17,3,11.75,2.7,1.190900902127552
2,17,5,24.03,3.833,0.853552489158482
1,17,1,15.15,2.5,0.9039855385801905
1,17,2,20.94,2.967,0.7159599536627071
1,17,3,12.27,2.7,1.2625960165817807
1,17,5,21.85,3.9,1.0415005325495166
3,17,1,13.41,2.433,0.6300136159948269
3,17,2,18.67,2.967,0.5585762503305429
3,17,3,11.15,2.433,1.0419246536257312
3,17,5,25.3,3.633,0.7394930720690006
6,17,1,14.54,2.567,0.9237509014259988
6,17,2,15.22,3.233,0.6560722080746789
6,17,3,11.15,2.433,1.1830855639780753
6,17,5,25.54,3.233,0.8421361493060363
0.5,18,1,14.16,2.767,0.8060312598507592
0.5,18,2,19.76,2.3,0.9803465737204438
0.5,18,3,11.46,2.833,0.9328641779285848
0.5,18,5,23.09,3.033,1.2734186583923026
1,18,1,13.73,2.7,0.8241685938156714
1,18,2,19.94,2.367,1.1122520533669895
1,18,3,12.64,2.9,0.8782436888365466
1,18,5,22.21,3.167,1.122227985442954
2,18,1,13.58,2.833,0.9334388130010973
2,18,2,19.1,2.433,0.7511108678385915
2,18,3,11.84,3.1,0.8357889590332228
2,18,5,26.2,3.1,1.048712518141119
3,18,1,13.72,2.767,0.7572507337508577
3,18,2,24.8,2.5,1.0407567826007655
3,18,3,13.86,3.1,0.840163278659385
3,18,5,26.38,3.1,0.9752181702019063
6,18,1,13.36,2.9,0.8382696108033203
6,18,2,19.54,2.5,0.9437088723849965
6,18,3,10.85,3.1,0.7574550979809455
6,18,5,22.85,3.167,0.93991044891517
0.5,19,1,14.87,3.167,0.8827731995539683
0.5,19,2,18.86,4.3,0.4925367347478578
0.5,19,3,10.49,3.633,0.6665359609258646
0.5,19,5,25.6,3.3,0.9955253399860758
1,19,1,13.58,2.967,0.9025769301808996
1,19,2,20.15,3.167,0.698374765514037
1,19,3,10.85,3.433,0.7497865668694185
1,19,5,24.88,3.5,0.8983524001507563
2,19,1,13.59,2.967,0.7736705776030622
2,19,2,17.33,3.033,0.9325595382445898
2,19,3,10.86,3.367,0.8289454048368837
2,19,5,27.02,3.433,0.8701064189739458
6,19,1,12.81,2.967,0.7572117484315267
6,19,2,13.89,3.567,0.8408344534675751
6,19,3,11.49,3.033,0.7606632958540029
6,19,5,24.95,3.367,0.8585436549669456
3,19,1,13.56,2.9,0.8435136326131168
3,19,2,16.77,3.1,0.9410314269314841
3,19,3,10.67,3.367,0.7728435884870868
3,19,5,22.89,3.433,0.8402499333990653
0.5,20,1,16.81,2.767,0.7008547278068609
0.5,20,2,17.43,2.833,0.9540719456746547
0.5,20,3,13.8,2.433,1.1071377123269386
0.5,20,5,20.2,3.7,1.0341072162259404
1,20,1,14.52,2.9,0.755873855816626
1,20,2,15.9,2.633,0.9188794788902344
1,20,3,12.79,2.367,1.0913213082192068
1,20,5,20.95,3.767,1.0009381820988814
2,20,1,13.78,3.033,0.7083940151061362
2,20,2,13.97,2.5,1.2072887031619535
2,20,3,14.32,2.567,1.122333686542485
2,20,5,22.73,3.5,0.8677523461078882
3,20,1,13.6,3.033,0.6498573554327063
3,20,2,13.86,2.367,1.1392161390976403
3,20,3,13.29,2.633,0.9870395905514763
3,20,5,26.97,3.633,0.7193840108549147
6,20,1,13.91,2.7,0.8504700637677068
6,20,2,17.38,2.7,1.1284652901177783
6,20,3,12.59,2.633,0.7998797923054181
6,20,5,24.56,3.367,0.8004336474314833
3,2,1,16.05,2.767,0.8212287286237441
3,2,2,16.43,3.167,0.7759917070828576
3,2,3,10.43,2.833,0.9975976765626726
3,2,5,27.72,3.567,0.8457040899429494
1,2,1,14.82,3.033,0.6836013927864657
1,2,2,15.91,3.1,1.0965421428621245
1,2,3,11.79,2.833,0.9240846304048156
1,2,5,23.7,3.5,0.853323206516839
2,2,1,14.64,2.967,0.8213905128606567
2,2,2,17.24,2.967,0.8999033090519413
2,2,3,10.55,3.1,0.9242905447610322
