angle_deg,seed,set_id,kappa,kr_hat,P32_hat
96,5,5,26.3,3.433,1.0669191569689134
60,5,1,11.34,2.967,0.7788754343702375
60,5,2,20.83,2.967,1.1056046638828414
60,5,3,9.27,2.967,0.7340368694954219
60,5,5,23.18,3.433,1.0756740800392681
108,5,1,8.09,3.167,0.608443724937507
108,5,2,22.09,2.833,1.0957898196888989
108,5,3,13.34,3.033,0.7353940585046753
108,5,5,25.35,3.5,1.074701942696983
0,6,1,14.05,2.9,0.8203434499467754
0,6,2,18.28,2.7,1.009747266519786
0,6,3,13.69,3.167,0.6484435493353605
0,6,5,26.2,3.3,0.964940236747743
180,5,1,15.33,2.9,0.7185078967588244
180,5,2,17.51,2.967,0.9504614272409354
180,5,3,11.46,3.233,0.8845095118114512
180,5,5,24.89,3.833,0.7790112963372583
120,5,1,8.54,3.167,0.5940740755559204
120,5,2,22.73,2.967,1.1371488835358017
120,5,3,14.71,3.233,0.7894328159352385
120,5,5,26.15,3.567,1.0660506002295036
24,6,1,13.92,2.967,0.8299735512349505
24,6,2,20.76,2.767,1.2109064456796654
24,6,3,11.42,2.967,0.5031371810370292
24,6,5,25.98,3.233,0.9746798724271916
12,6,1,14.11,2.9,0.8037962109151656
12,6,2,21.66,2.7,1.1028661017901753
12,6,3,11.7,2.833,0.6649741434105392
12,6,5,26.86,3.1,0.9994419355496725
144,5,1,14.12,3.1,0.6144986333078574
144,5,2,21.0,2.767,1.0941077396685925
144,5,3,13.13,3.1,0.9385382103878211
144,5,5,23.94,4.033,0.9808121082623565
36,6,1,14.07,2.767,0.8543177510178974
36,6,2,22.04,2.767,1.146869971476234
36,6,3,10.27,3.033,0.5006588105584248
36,6,5,24.02,3.233,0.9283787767807969
132,5,1,11.56,3.1,0.6813853078619415
132,5,2,21.85,2.833,1.1640655810942346
132,5,3,13.74,3.233,0.7898574113777344
132,5,5,23.94,3.767,1.0307138629615211
168,5,1,14.05,2.7,0.7244560932758539
168,5,2,15.28,3.033,0.963272934727997
168,5,3,11.36,2.9,0.8922003216132514
168,5,5,25.88,3.9,0.8953531485296296
156,5,1,12.95,2.9,0.6637382487033302
156,5,2,18.05,2.9,0.9362000993312428
156,5,3,12.45,3.033,0.9802975871245243
156,5,5,25.32,3.833,0.8650063250502606
72,6,1,12.8,2.9,0.7418386773645449
72,6,2,24.82,2.833,1.168907000444748
72,6,3,8.9,3.167,0.6126439705314325
72,6,5,25.75,3.167,1.1118680692914322
84,6,1,13.99,2.9,0.6465363990136388
84,6,2,25.33,2.9,1.1523578500261042
84,6,3,10.39,3.233,0.5083549931082593
84,6,5,24.93,3.033,1.1540466084058707
156,6,1,14.72,3.433,0.6713573608838657
156,6,2,32.61,2.567,0.6686290865569049
156,6,3,12.26,3.367,0.6569014408540255
156,6,5,23.76,3.3,1.151245804259122
144,6,1,14.9,3.3,0.6150442679522934
144,6,2,27.86,2.633,0.6686941264926777
144,6,3,11.63,3.5,0.6144085809323575
144,6,5,24.12,3.3,1.1244097532703223
96,6,1,13.26,3.167,0.6337829385331376
96,6,2,26.04,2.9,1.0760984846681756
96,6,3,15.23,3.5,0.5567176982364517
96,6,5,24.2,2.967,1.279190122891236
48,6,1,14.03,2.833,0.8112753596852588
48,6,2,22.47,2.767,1.2092052432495741
48,6,3,8.71,2.767,0.5089608037858552
48,6,5,24.16,3.233,0.9847030006637185
60,6,1,13.92,2.9,0.7567481831217782
60,6,2,23.59,2.7,1.2184583051588316
60,6,3,7.84,2.9,0.6215538611085154
60,6,5,26.17,3.3,0.990951993927676
108,6,1,11.64,3.1,0.6165076717911816
108,6,2,27.39,2.767,1.0634118095681278
108,6,3,13.99,3.5,0.5733457819011931
108,6,5,24.43,3.1,1.3066561561626775
132,6,1,13.77,3.367,0.6313412679415445
132,6,2,26.59,2.633,0.9510977250048587
132,6,3,11.62,3.233,0.6089625797979471
132,6,5,23.17,3.233,1.1294946113547932
120,6,1,10.13,3.367,0.5932389210251204
120,6,2,25.37,2.767,1.007098867073133
120,6,3,12.7,3.1,0.6190080924722625
120,6,5,22.82,3.1,1.1886759557215347
168,6,1,14.29,3.233,0.6802621085739977
168,6,2,20.31,3.1,0.6263252797432842
168,6,3,12.48,3.233,0.6680661798318599
168,6,5,23.55,3.567,1.1004781005430788
180,6,1,13.36,3.033,0.7103008764632153
