seed,mode,set_id,lmin_fit,kr_hat,fit_status,adoption_status,class_l1,q90_ratio
106,hybrid,1,0.75,2.9000000000000004,ok,accepted,0.17134785458190363,0.9498639160375324
106,hybrid,2,0.1,2.95,ok,accepted,0.1483439613899941,0.9234509010518983
106,hybrid,2,0.2,2.9000000000000004,ok,accepted,0.10384560147593322,0.8905218603404005
106,hybrid,2,0.3,2.85,ok,accepted,0.06646203958907539,0.8544811414508313
106,hybrid,2,0.5,2.8,ok,accepted,0.07730565897042836,0.8209643730194016
106,hybrid,2,0.75,2.8,ok,accepted,0.03780873728102491,0.7809269884052445
106,hybrid,3,0.1,2.85,ok,accepted,0.2371730827456674,0.9243407691209482
106,hybrid,3,0.2,2.85,ok,accepted,0.19664585435882437,0.9091513020784902
106,hybrid,3,0.3,2.8,ok,accepted,0.20333507293918837,0.9259856037113894
106,hybrid,3,0.5,2.75,ok,accepted,0.20304371457411285,0.8995185340355452
106,hybrid,3,0.75,2.8,ok,accepted,0.20052753231461692,0.9079398130277028
106,hybrid,5,0.1,3.1500000000000004,ok,provisional_accepted,0.05339854998639956,0.9076581157504358
106,hybrid,5,0.2,3.1500000000000004,ok,provisional_accepted,0.05896034289803652,0.8754949405771973
106,hybrid,5,0.3,3.25,ok,provisional_accepted,0.042558027541027235,0.8385466940171195
106,hybrid,5,0.5,3.25,ok,provisional_accepted,0.017624742030408487,0.8028162062701255
106,hybrid,5,0.75,3.2,ok,provisional_accepted,0.01590360936817251,0.7755287448693982
107,window_mc,1,0.1,2.95,ok,accepted,0.058316953316953385,0.8866007548333525
107,window_mc,1,0.2,2.9000000000000004,ok,accepted,0.07849580337526776,0.8736917158511033
107,window_mc,1,0.3,3.0,ok,accepted,0.06779344415405655,0.8481514768964062
107,window_mc,1,0.5,2.7,ok,accepted,0.09007951783568283,0.9550658222784904
107,window_mc,1,0.75,2.95,ok,accepted,0.05683317578779909,0.8952562852038912
107,window_mc,2,0.1,3.6,ok,provisional_accepted,0.14079303538418275,0.9059335631386043
107,window_mc,2,0.2,4.1,ok,rejected,0.039742511293897165,0.8366107534220278
107,window_mc,2,0.3,3.3,ok,accepted,0.06936360898794791,0.9412803940599548
107,window_mc,2,0.5,3.6,ok,provisional_accepted,0.03701882648912729,0.8884163203280222
107,window_mc,2,0.75,3.8000000000000003,weak_identifiability,rejected,0.027369352498739598,0.8654346355525484
107,window_mc,3,0.1,2.85,ok,accepted,0.13769009086633383,0.7916300903914718
107,window_mc,3,0.2,2.7,ok,provisional_accepted,0.09808712234074252,0.816951335269247
107,window_mc,3,0.3,2.8,ok,accepted,0.12686977226936935,0.8024038026204783
107,window_mc,3,0.5,2.75,ok,accepted,0.1863192295564712,0.8054716271361889
107,window_mc,3,0.75,2.8,ok,accepted,0.2284761111398974,0.7862341966908697
107,window_mc,5,0.1,4.050000000000001,ok,provisional_accepted,0.03840469415216284,1.0445753694903257
107,window_mc,5,0.2,4.6,ok,rejected,0.046307305629201836,0.9797193372752799
107,window_mc,5,0.3,4.050000000000001,ok,provisional_accepted,0.0164131184925136,1.0588625199731336
107,window_mc,5,0.5,4.35,ok,rejected,0.039218298656773766,1.0313282585365153
107,window_mc,5,0.75,4.15,ok,provisional_accepted,0.06211421140441475,1.0004939105001653
107,hybrid,1,0.1,2.9000000000000004,ok,accepted,0.06307818561623393,0.8998882601615189
107,hybrid,1,0.2,2.9000000000000004,ok,accepted,0.07157922778417054,0.8846371208109344
107,hybrid,1,0.3,2.85,ok,accepted,0.08270402604240402,0.8909801987457521
107,hybrid,1,0.5,2.85,ok,accepted,0.0699119312646195,0.9069903192879878
107,hybrid,1,0.75,2.85,ok,accepted,0.052077025480773774,0.9386245141043009
107,hybrid,2,0.1,3.9000000000000004,weak_identifiability,rejected,0.11542049775927984,0.8747263681687142
107,hybrid,2,0.2,3.75,weak_identifiability,rejected,0.06494586408503189,0.8833931744496615
107,hybrid,2,0.3,3.65,weak_identifiability,rejected,0.051330791431869485,0.9012629385721979
107,hybrid,2,0.5,3.65,weak_identifiability,rejected,0.0386744304330287,0.8935875438626358
107,hybrid,2,0.75,3.75,weak_identifiability,rejected,0.023173345672531306,0.8748734668123034
107,hybrid,3,0.1,2.8,ok,accepted,0.13403546804606736,0.801905841318339
107,hybrid,3,0.2,2.8,ok,accepted,0.09238355513307983,0.7889200845057276
107,hybrid,3,0.3,2.8,ok,accepted,0.12704311308498756,0.8103686522119462
107,hybrid,3,0.5,2.75,ok,accepted,0.19063074379741562,0.8059824006886502
107,hybrid,3,0.75,2.75,ok,accepted,0.21990688611517045,0.802639321056949
107,hybrid,5,0.1,4.300000000000001,ok,rejected,0.038998380333046166,1.0142440197789204
107,hybrid,5,0.2,4.15,ok,provisional_accepted,0.023909000497060986,1.039596289082462
107,hybrid,5,0.3,4.35,ok,rejected,0.007409203910225395,1.0161498100769952
107,hybrid,5,0.5,4.300000000000001,ok,rejected,0.03766888922104079,1.0327728665081375
107,hybrid,5,0.75,4.300000000000001,ok,rejected,0.06753137441396552,0.9868821898219131
108,window_mc,1,0.1,2.8,ok,accepted,0.04081652515890522,0.8467921957511321
108,window_mc,1,0.2,2.7,ok,accepted,0.03230821231633908,0.8706502732220929
108,window_mc,1,0.3,2.8,ok,accepted,0.04628906594207654,0.8521116741685086
108,window_mc,1,0.5,2.7,ok,accepted,0.06370477983505543,0.8974744032480089
108,window_mc,1,0.75,2.8,ok,accepted,0.12385055915817736,0.908815432837714
108,window_mc,2,0.1,2.7,ok,provisional_accepted,0.12768390510326,0.6786507401371584
108,window_mc,2,0.2,2.5,ok,provisional_accepted,0.1065247502878467,0.7131204119860698
108,window_mc,2,0.3,2.6500000000000004,ok,provisional_accepted,0.07041261275365254,0.6903444821722006
108,window_mc,2,0.5,2.45,ok,provisional_accepted,0.12335904107606871,0.7309953835710575
108,window_mc,2,0.75,2.6,ok,provisional_accepted,0.1350801939574785,0.6964726041659137
108,window_mc,3,0.1,3.1,ok,accepted,0.09141478643394359,0.8296740245743502
108,window_mc,3,0.2,3.1,ok,accepted,0.11536381085325421,0.8172888063703526
108,window_mc,3,0.3,3.0,ok,accepted,0.10948751229755531,0.8233726445815146
