interval_m,seed,set_id,kappa,kr_hat,P32_hat
6,10,3,12.1,2.967,0.8997981484798685
6,10,5,20.29,3.233,0.6707121226230525
0.5,11,1,11.91,2.767,0.7089953295416932
0.5,11,2,15.34,2.967,1.0615590919811118
0.5,11,3,10.95,2.433,0.9748553669019482
0.5,11,5,28.03,3.833,0.9753239326273886
2,11,1,14.76,2.7,0.7499934609712532
2,11,2,18.56,2.767,0.9264407822984801
2,11,3,11.63,2.433,0.9277409335736718
2,11,5,26.36,4.033,0.8624376605611146
3,11,1,15.2,2.633,0.7957693744420253
3,11,2,17.1,2.7,0.7924800593737719
3,11,3,12.12,2.5,0.9926846394422663
3,11,5,25.56,3.833,0.7907424581441552
6,11,1,16.2,2.7,0.9154883797487149
6,11,2,17.34,2.9,0.8054825293369287
6,11,3,11.22,2.433,0.991537470117031
6,11,5,24.0,3.367,0.9327281107558445
0.5,12,1,15.49,2.7,0.856605271639931
0.5,12,2,16.16,3.033,1.0286158343414693
0.5,12,3,13.61,2.833,0.8749551253541252
0.5,12,5,25.03,3.367,1.1636052935730012
1,12,1,14.9,2.767,0.7692755289402423
1,12,2,13.94,2.633,1.1931034344549805
1,12,3,13.16,2.833,0.9472354045334906
1,12,5,23.01,3.3,1.0195238156177981
2,12,1,14.95,2.9,0.850151167441641
2,12,2,13.32,2.5,1.1090433692031065
2,12,3,10.82,2.9,0.8408853327286339
2,12,5,23.43,3.233,1.0182263375763343
6,12,1,15.64,2.967,0.7750587648273475
6,12,2,15.22,2.5,1.0545459169746063
6,12,3,10.45,2.767,0.9830515094838891
6,12,5,23.41,3.233,0.8830952772694679
3,12,1,15.34,2.9,0.7710231194047154
3,12,2,12.59,2.633,1.098617439927689
3,12,3,11.62,2.7,0.8851712560449374
3,12,5,26.31,3.233,0.9453062259648388
0.5,13,1,15.06,2.9,0.886315707695852
0.5,13,2,29.16,2.7,1.0474954982690077
0.5,13,3,11.55,2.833,0.9823902503354833
0.5,13,5,23.08,3.7,0.8064569351371514
1,13,1,14.41,2.767,0.844603436946006
1,13,2,20.42,2.767,0.9449356105217726
1,13,3,11.5,2.833,0.8648440970268396
1,13,5,22.88,3.967,0.7848690240982842
2,13,1,16.02,2.633,0.897254980840877
2,13,2,19.78,2.767,0.7216085092629752
2,13,3,10.25,2.833,0.8653841193988486
2,13,5,24.2,3.833,0.6749949913765724
3,13,1,15.56,2.567,0.9624828556468012
3,13,2,17.75,3.233,0.7287506626388933
3,13,3,10.22,2.567,0.8813773210223157
3,13,5,23.29,3.567,0.7150415656238726
6,13,1,15.78,2.567,0.948645682532897
6,13,2,21.99,2.767,0.8935589454095472
6,13,3,9.54,2.767,0.8660300583348025
6,13,5,21.89,3.433,0.6750552581739048
0.5,14,1,13.47,2.633,0.8740296807074697
0.5,14,2,13.81,2.433,0.6143881498333461
0.5,14,3,10.66,3.033,0.6394685441783909
0.5,14,5,24.88,3.9,1.0161206852625906
1,14,1,14.82,2.833,0.7916221415272315
1,14,2,13.99,2.967,0.6030566842746465
1,14,3,11.57,3.167,0.6689764175631331
1,14,5,24.0,3.967,0.9942818928057136
3,14,1,16.21,2.567,0.8429963500289562
3,14,2,16.07,3.5,0.7330260258889391
3,14,3,12.62,3.1,0.5862561418718795
3,14,5,25.86,3.9,0.7536087430142464
2,14,1,15.13,2.567,0.8164522652244155
2,14,2,17.37,3.3,0.5236248379702195
2,14,3,13.15,2.9,0.6655806806959307
2,14,5,25.94,4.033,0.9147983421100289
6,14,1,17.69,2.567,0.9515713354633837
6,14,2,17.67,3.233,0.7898564758252381
6,14,3,12.27,2.833,0.6514859716224222
6,14,5,25.3,3.5,0.8811819156828503
1,15,1,15.73,2.633,0.7514356102530492
1,15,2,16.83,2.767,0.7760717832625144
1,15,3,12.04,2.633,1.1428831180155619
1,15,5,22.39,3.3,1.0573541987557853
0.5,15,1,15.33,2.7,0.7815364430536776
0.5,15,2,18.16,2.633,0.848869770551913
0.5,15,3,12.38,2.633,1.2396108120512115
0.5,15,5,22.1,3.3,1.2159412317655212
2,15,1,14.71,2.767,0.7919225410418793
2,15,2,17.65,3.033,0.8550043262913142
2,15,3,10.86,2.5,1.1330542205842715
2,15,5,24.13,3.167,0.9277888207702878
6,15,1,14.29,2.833,0.7167403935858577
6,15,2,16.07,2.767,1.0715468563244057
6,15,3,10.06,2.7,1.019107053959866
6,15,5,22.62,3.233,0.8720195927656992
3,15,1,14.47,2.767,0.6154925152497867
3,15,2,17.37,2.767,0.9584236308755552
