angle_deg,seed,set_id,kappa,kr_hat,P32_hat
168,6,5,23.55,3.567,1.0435154864112843
180,6,1,13.36,3.033,0.6623336748715921
180,6,2,23.03,2.633,0.9052750598277746
180,6,3,11.83,3.1,0.6543492639074158
180,6,5,23.45,3.633,0.9182682738745856
24,7,1,14.5,3.1,0.6424772093968233
24,7,2,21.63,3.1,0.9332634513349328
24,7,3,11.32,2.9,0.9074095320953203
24,7,5,25.07,3.767,0.7976190681191927
48,7,1,14.3,3.233,0.60898161462788
48,7,2,21.39,2.767,1.0245158480573384
48,7,3,8.9,2.9,0.8328299588362362
48,7,5,24.0,3.7,0.6406341399862305
84,7,1,12.44,3.167,0.5369179886424786
84,7,2,21.13,2.433,1.304977233940695
84,7,3,10.49,2.633,0.9243074788675337
84,7,5,23.44,3.367,0.9239681622136119
96,7,1,9.23,3.5,0.5247803239433051
96,7,2,20.18,2.433,1.3329613269183482
96,7,3,10.96,2.633,1.0771523307744513
96,7,5,22.91,3.233,0.9604505357696681
36,7,1,14.29,3.1,0.6300930973559652
36,7,2,22.12,3.033,0.9940805117218873
36,7,3,9.89,3.033,0.8678862909625692
36,7,5,22.79,3.633,0.7753454256040831
60,7,1,14.36,3.3,0.6158258618360712
60,7,2,21.07,2.567,1.1257540750003794
60,7,3,8.75,2.833,1.0397580395478676
60,7,5,24.48,3.633,0.7207475637925425
72,7,1,13.64,3.3,0.5996145115277335
72,7,2,20.93,2.433,1.275580662530471
72,7,3,8.84,2.767,0.7883280618558255
72,7,5,25.16,3.567,0.8408362868364303
12,7,1,15.17,3.033,0.6860390441926041
12,7,2,19.92,3.433,0.8081436062773922
12,7,3,11.13,2.833,1.0079092610735605
12,7,5,20.12,3.367,0.766060773917959
108,7,1,7.96,3.367,0.3505561330777898
108,7,2,21.63,2.367,1.3534748110226436
108,7,3,10.9,2.7,1.1132001079432292
108,7,5,23.15,3.1,1.0218345515833227
12,8,1,16.27,2.967,0.6728024317589174
12,8,2,17.89,3.233,0.713764844535061
12,8,3,13.53,2.767,1.0250441149276412
12,8,5,23.29,3.5,0.8846342429786197
120,7,1,8.51,3.033,0.4560683549790637
120,7,2,21.15,2.3,1.287854197725686
120,7,3,11.49,2.7,1.0793641639984957
120,7,5,23.24,3.1,1.0874177662144078
0,8,1,15.36,2.9,0.6692819258519622
0,8,2,16.15,3.367,0.5906920919666018
