trace_id,face_id,set_id,x_face_nominal,x_mid_rough,x_span,rough_offset_p0,rough_offset_p1,rough_offset_mid,p0_x,p0_y,p0_z,p1_x,p1_y,p1_z,length_yz,length_3d,length_ratio_3d_to_yz,theta_yz_deg,valid_length,valid_x_tolerance,confidence,parent_fracture_id,x_face,normal_x,normal_y,normal_z,rough_length_warning,censoring_class,is_p0_on_boundary,is_p1_on_boundary,distance_p0_to_boundary,distance_p1_to_boundary
49,1,3,0.06798788,0.06798788,0.014966380000000001,0.007483190000000001,-0.007483190000000001,0.0,0.07547107,-1.7004006,6.7,0.06050469,-1.5578042,7.7,1.0101157029236603,1.010226571529013,1.0001097583227663,81.8845388559355,True,True,1.0,3283595,0.06798788,-0.90808237,-0.41624057,0.046154745,False,1,False,True,0.9248038386051329,0.014024590898888606
50,1,3,0.029189209,0.029189208,0.100527084,0.050263541,-0.050263543,-9.999999994736442e-10,0.07945275,-2.749959,2.9,-0.021074334,-2.6545768,4.65,1.7525974335473737,1.7554781282301368,1.0016436716313868,86.88023113936295,True,True,1.0,3291878,0.029189209,-0.69383174,-0.72013706,0.00040320284,False,0,False,False,2.7291965197623678,2.0541789349785056
51,1,3,0.12261459,0.122614595,0.05361961000000001,-0.026809799999999995,0.026809810000000017,5.0000000112460086e-09,0.09580479,2.625282,0.05,0.1494244,2.6414557,1.3,1.2501046310496133,1.2512540314213745,1.000919443335552,89.25869356788671,True,True,1.0,3322790,0.12261459,-0.50757885,-0.8610096,0.032035053,False,1,True,False,0.05,1.3
52,1,3,-0.026680876,-0.0266808771,0.055221885799999995,-0.027610944,0.0276109418,-1.1000000008087873e-09,-0.05429182,5.0047626,0.018564364,0.0009300658,4.7464314,0.85,0.8706435698402445,0.8723930779043774,1.0020094423536074,107.26028029942607,True,True,1.0,3414730,-0.026680876,-0.10595084,-0.95153785,-0.28870434,False,1,True,False,0.018564364,0.5462560480021109
53,1,3,0.1110106,0.111010605,0.0034329700000000074,-0.0017164800000000063,0.001716490000000001,4.999999997368221e-09,0.10929412,0.57669485,1.8,0.11272709,1.0047626,2.70588,1.0019284270795308,1.001934308362122,1.000005869962796,64.70722587063706,True,True,1.0,3424512,0.1110106,-0.72578484,-0.62181133,0.29425675,False,0,False,False,1.8,2.70588
54,1,3,0.09642972,0.09642972,0.02674994,-0.01337497,0.01337497,0.0,0.08305475,2.9547627,0.04725759,0.10980469,2.7030585,0.4,0.43333844984059283,0.43416330038391265,1.0019034787788235,125.51027810210378,True,True,1.0,3444123,0.09642972,-0.82986075,-0.4793206,-0.28562716,False,1,True,False,0.04725759,0.4
55,1,3,0.028183654,0.028183655000000002,0.013907796000000004,0.006953899000000003,-0.0069538970000000006,1.0000000029430911e-09,0.035137553,-2.1499352,7.15,0.021229757,-2.0560837,7.55,0.41086263404238843,0.4110979577203312,1.000572755121651,76.79560831505503,True,True,1.0,3530808,0.028183654,-0.39080507,-0.8990397,0.19748165,False,1,False,True,0.3236371559843515,0.0048187295601890496
56,1,3,0.10810528,0.108105275,0.08257847000000001,0.04128923000000001,-0.041289240000000005,-4.999999997368221e-09,0.14939451,2.0252335,0.95,0.06681604,2.0192592,2.95,2.0000089230452174,2.0017129904079733,1.0008520298800274,90.17115057871113,True,True,1.0,3533501,0.10810528,-0.23057102,-0.97297454,-0.012553276,False,0,False,False,0.95,2.95
57,1,3,0.08335904,0.08335904499999999,0.05261850999999999,-0.026309249999999992,0.02630926,4.999999997368221e-09,0.05704979,3.6047628,1.5696592,0.1096683,1.8759959,2.65,2.0385708814461787,2.039249848908875,1.0003330605125758,147.99791805980607,True,True,1.0,3543858,0.08335904,0.16790037,-0.51878697,-0.83825386,False,0,False,False,1.5696592,2.65
58,1,3,-0.035076078,-0.035076078499999996,0.027326337,0.013663167999999996,-0.013663169000000003,-4.999999997368221e-10,-0.02141291,4.365368,0.05,-0.048739247,4.9840913,4.75,4.740550445039362,4.7406292040884965,1.0000166139038174,82.50052052171675,True,True,1.0,3547316,-0.035076078,-0.399124,-0.90934086,0.117470264,False,2,True,True,0.05,0.015846193059502776
59,1,3,0.019473646,0.01947364615,0.053862093699999995,-0.026931046700000003,0.026931046999999996,1.4999999853326784e-10,-0.0074574007,-0.041870855,0.75,0.046404693,-0.7612841,3.6,2.93939711796168,2.939890566367935,1.0001678740185325,104.16697556389299,True,True,1.0,3705002,0.019473646,-0.47387406,-0.8558921,-0.20710403,False,0,False,False,0.75,3.6
60,1,3,0.027701257,0.027701257,0.007672202000000003,-0.0038361010000000015,0.0038361010000000015,0.0,0.023865156,-4.6947575,0.05,0.031537358,-4.7315803,0.25,0.2033615465122156,0.20350621927442128,1.000711406677845,100.4321262203395,True,True,1.0,3802371,0.027701257,-0.5755845,-0.80744016,-0.12939441,False,1,True,False,0.05,0.25
