trace_id,fracture_id,set_id,face_id,face_x_m,p0_x,p0_y,p0_z,p1_x,p1_y,p1_z,observed_length_m,censoring_class,radius_m,nx,ny,nz
68,8852008,3,1,0.0000,0.000000,-0.591860,-1.317832,0.000000,-1.914367,-3.454874,2.513159,0,1.437504,-0.285561,-0.814933,0.504321
69,8930748,3,1,0.0000,0.000000,-1.718596,-3.664828,0.000000,-1.678702,-4.000000,0.337538,1,1.471550,-0.579967,-0.808930,-0.096284
70,8936231,3,1,0.0000,0.000000,-0.834933,2.024645,0.000000,-1.175585,1.142581,0.945559,0,1.249325,-0.379715,-0.862983,0.333283
71,9011264,3,1,0.0000,0.000000,4.142767,-3.378737,0.000000,4.117275,-4.000000,0.621786,1,1.790408,-0.016206,-0.999028,0.040992
72,9013342,3,1,0.0000,0.000000,-4.623420,-3.850128,0.000000,-4.686692,-4.000000,0.162680,1,1.366883,-0.780329,-0.576131,0.243228
73,9126295,3,1,0.0000,0.000000,-3.687145,-3.610658,0.000000,-3.755388,-4.000000,0.395278,1,0.965980,0.048738,-0.983813,0.172441
74,9233166,3,1,0.0000,0.000000,-1.564334,3.712741,0.000000,-1.092711,1.776894,1.992469,1,2.791368,-0.497763,-0.842666,-0.205296
75,9281961,3,1,0.0000,0.000000,2.336940,-2.362445,0.000000,0.596845,-3.991030,2.383321,0,1.296107,-0.774437,-0.432307,0.461907
76,9392296,3,1,0.0000,0.000000,2.740734,3.222875,0.000000,1.811975,0.965825,2.440670,1,2.203207,-0.550924,-0.771769,0.317577
77,9393320,3,1,0.0000,0.000000,-0.116144,3.950836,0.000000,-1.231706,2.366607,1.937592,1,1.973861,-0.708283,-0.577187,0.406436
78,9488131,3,1,0.0000,0.000000,-1.462587,1.100391,0.000000,-2.662226,-0.503235,2.002686,0,1.200151,-0.492553,-0.696868,0.521312
79,9508484,4,1,0.0000,0.000000,-5.390662,-0.404072,0.000000,-0.510762,3.915059,6.516772,2,17.460003,-0.129226,0.657214,-0.742543
80,9508916,4,1,0.0000,0.000000,-0.224924,-4.000000,0.000000,5.489341,-0.839788,6.529913,2,17.468466,-0.063114,0.482994,-0.873346
81,9510405,4,1,0.0000,0.000000,-2.764663,-1.462030,0.000000,-0.066281,0.230956,3.185508,0,1.771004,-0.024211,0.531309,-0.846832
82,9528969,4,1,0.0000,0.000000,-5.452377,-2.592173,0.000000,-0.851241,-0.696246,4.976443,1,3.531012,-0.420088,0.345733,-0.839044
83,9529147,4,1,0.0000,0.000000,-1.516609,-4.000000,0.000000,5.116147,0.477400,8.002534,2,16.603292,0.371107,0.519544,-0.769645
84,9550500,4,1,0.0000,0.000000,3.050770,-0.034229,0.000000,5.180466,0.324750,2.159739,1,4.268848,0.026506,0.166155,-0.985743
85,9550739,4,1,0.0000,0.000000,2.942066,0.405442,0.000000,4.637465,1.402454,1.966828,1,10.762087,0.368800,0.471181,-0.801233
86,9558747,4,1,0.0000,0.000000,-4.766315,-1.073972,0.000000,-1.834104,-0.698051,2.956210,0,4.582115,0.355806,0.118842,-0.926973
87,9571201,4,1,0.0000,0.000000,4.775135,1.140979,0.000000,4.806328,1.142638,0.031237,1,4.359771,0.213975,0.051862,-0.975461
88,9576857,4,1,0.0000,0.000000,-5.504079,-0.997120,0.000000,-1.136793,1.182728,4.881079,1,13.524506,-0.148879,0.441614,-0.884767
89,9635444,4,1,0.0000,0.000000,-4.991184,0.773977,0.000000,-1.412082,3.755082,4.657999,2,11.624279,-0.399210,0.586787,-0.704494
90,9649394,4,1,0.0000,0.000000,-2.120196,-3.733966,0.000000,3.237467,2.886814,8.516999,1,14.220042,0.066313,0.775649,-0.627671
91,9650034,4,1,0.0000,0.000000,-4.930134,-1.221308,0.000000,-0.612043,2.076881,5.433595,0,6.783343,0.736908,0.410327,-0.537213
92,9658563,4,1,0.0000,0.000000,-5.382436,-0.367755,0.000000,-4.592886,-0.589482,0.820093,1,19.190580,-0.156935,-0.267019,-0.950827
93,9666992,4,1,0.0000,0.000000,-5.177397,0.332033,0.000000,1.101694,3.841402,7.193237,2,10.473537,0.029708,0.487655,-0.872531
94,9687430,4,1,0.0000,0.000000,4.794044,-4.000000,0.000000,5.043694,-3.983749,0.250179,2,24.034725,-0.154201,0.064181,-0.985953
95,9691989,4,1,0.0000,0.000000,-0.037693,-4.000000,0.000000,4.123055,-2.396499,4.459040,1,6.400978,-0.181076,0.353662,-0.917679
96,9708566,4,1,0.0000,0.000000,1.471074,3.434127,0.000000,1.932726,3.610291,0.494121,1,12.747355,0.033625,0.356317,-0.933760
97,9716367,4,1,0.0000,0.000000,-5.261779,-3.331346,0.000000,2.088315,3.539705,10.061572,2,23.230341,-0.046025,0.682177,-0.729737
98,9721470,4,1,0.0000,0.000000,5.256459,-2.855499,0.000000,5.432287,-2.746563,0.206839,1,10.046545,-0.167285,0.519245,-0.838093
99,9728802,4,1,0.0000,0.000000,4.120649,-4.000000,0.000000,5.309049,-3.189939,1.438226,2,7.514901,0.423503,0.510233,-0.748537
100,9737943,4,1,0.0000,0.000000,0.280033,-0.199394,0.000000,4.670346,1.351863,4.656313,1,19.659746,-0.205544,0.326038,-0.922741
101,9750274,4,1,0.0000,0.000000,4.872436,-4.000000,0.000000,5.077997,-3.881131,0.237456,2,3.722998,-0.250773,0.484598,-0.838020
102,9750378,4,1,0.0000,0.000000,2.204520,-4.000000,0.000000,2.657908,-3.409630,0.744377,1,10.491266,0.712322,0.556644,-0.427487
103,9758633,4,1,0.0000,0.000000,4.240745,1.061254,0.000000,4.729738,1.260480,0.528021,1,7.520791,-0.123449,0.374421,-0.919005
104,9761161,4,1,0.0000,0.000000,-4.716770,0.004302,0.000000,-0.138907,-0.248570,4.584841,0,4.388101,0.346397,-0.051739,-0.936660
105,9762540,4,1,0.0000,0.000000,1.103075,1.939543,0.000000,2.632647,3.275365,2.030767,1,14.786944,-0.209077,0.643254,-0.736553
106,9772515,4,1,0.0000,0.000000,-4.841183,-1.568765,0.000000,-2.409923,-0.790046,2.552925,0,1.688548,0.161770,0.301012,-0.939799
107,9786651,4,1,0.0000,0.000000,-3.212340,-4.000000,0.000000,4.621489,0.853884,9.215697,1,6.920470,0.052675,0.525966,-0.848873
108,9789910,4,1,0.0000,0.000000,-0.938820,-4.000000,0.000000,4.561433,1.519439,7.792111,2,8.042869,0.211645,0.692291,-0.689884
