trace_id,face_id,set_id,x_face_nominal,x_mid_rough,x_span,rough_offset_p0,rough_offset_p1,rough_offset_mid,p0_x,p0_y,p0_z,p1_x,p1_y,p1_z,length_yz,length_3d,length_ratio_3d_to_yz,theta_yz_deg,valid_length,valid_x_tolerance,confidence,parent_fracture_id,dx,x_face,normal_x,normal_y,normal_z,rough_length_warning,censoring_class,is_p0_on_boundary,is_p1_on_boundary,distance_p0_to_boundary,distance_p1_to_boundary
23,1,3,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-3.036271540667764,7.034407280718612,6.0,-2.957453489303589,6.802436351776123,0.24499550423484695,0.24499550423484695,1.0,108.76650528074038,True,True,1.0,2633357,0.0,6.0,-0.3320249021053314,-0.8931240439414978,-0.3034616410732269,False,1,True,False,0.0,0.2336606770242591
24,1,3,6.0,6.0,0.0,0.0,0.0,0.0,6.0,0.3089284896850586,3.417818784713745,6.0,0.3483277559280395,1.5225155353546145,1.8957127180065454,1.8957127180065454,1.0,91.19088414387471,True,True,1.0,2634723,0.0,6.0,-0.6936162710189819,-0.720189094543457,-0.0149711882695555,False,0,False,False,3.417818784713745,1.5225155353546145
25,1,3,6.0,6.0,0.0,0.0,0.0,0.0,6.0,3.43301575743172,6.743362332653669,6.0,2.8360328674316406,5.786585330963135,1.1277458942141072,1.1277458942141072,1.0,58.03781771576098,True,True,1.0,2640181,0.0,6.0,-0.1865047514438629,-0.8335117697715759,0.5200712084770203,False,1,True,False,9.930136612989092e-16,1.124570009404114
26,1,3,6.0,6.0,0.0,0.0,0.0,0.0,6.0,1.272174102749926,7.793991102964654,6.0,2.9382438037984127,0.0,7.970074376180185,7.970074376180185,1.0,102.06613908824406,True,True,1.0,2673183,0.0,6.0,-0.4985293745994568,-0.8477209806442261,-0.1812116503715515,False,2,True,True,9.155133597044475e-16,8.881784197001252e-16
27,1,3,6.0,6.0,0.0,0.0,0.0,0.0,6.0,3.815543554553593,6.412297688792106,6.0,2.911714553833008,4.797492504119873,1.8505411767879945,1.8505411767879945,1.0,60.763651601063174,True,True,1.0,2702283,0.0,6.0,-0.679115355014801,-0.6405250430107117,0.3585108816623688,False,1,True,False,9.930136612989092e-16,1.7659797438530689
28,1,3,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-0.0517765581607818,2.6799936294555664,6.0,0.2862117290496826,0.2433323860168457,2.459990670219665,2.459990670219665,1.0,97.897083924781,True,True,1.0,2703596,0.0,6.0,-0.2587142884731293,-0.956793248653412,-0.132716417312622,False,0,False,False,2.6799936294555664,0.2433323860168457
29,1,3,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-5.377562873100851,3.653764509428165,6.0,-4.946379661560059,2.9244327545166016,0.847256614395552,0.847256614395552,1.0,120.59171203759091,True,True,1.0,2861386,0.0,6.0,-0.2146398723125457,-0.8407528400421143,-0.49705570936203,False,1,True,False,8.881784197001252e-16,0.5607513965192932
30,1,3,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-1.2064917087554932,2.310823440551758,6.0,-2.894903753758346,0.0,2.8619294553000745,2.8619294553000745,1.0,53.846124244314026,True,True,1.0,2883837,0.0,6.0,-0.7707540988922119,-0.514443576335907,0.3758801817893982,False,1,False,True,2.310823440551758,0.0
31,1,3,6.0,6.0,0.0,0.0,0.0,0.0,6.0,0.6292585134506226,1.6487666368484497,6.0,0.4929132523495887,0.0,1.6543945880621276,1.6543945880621276,1.0,85.27266439837085,True,True,1.0,2927405,0.0,6.0,-0.5711547136306763,-0.8180500864982605,0.0676489174365997,False,1,False,True,1.6487666368484497,6.661338147750939e-16
32,1,3,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-1.705896496772766,5.017916202545166,6.0,-1.7327150106430054,2.98317289352417,2.0349200392870284,2.0349200392870284,1.0,89.24486853879768,True,True,1.0,2955522,0.0,6.0,-0.6629148125648499,-0.7486298084259033,0.0098671512678265,False,0,False,False,2.4128244561879413,2.98317289352417
33,1,3,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-4.944130420684815,2.390294313430786,6.0,-3.901606595377551,0.0,2.6077505308508413,2.6077505308508413,1.0,113.56436165184023,True,True,1.0,3113970,0.0,6.0,-0.8831846117973328,-0.4299141764640808,-0.1875065565109253,False,1,False,True,0.5879134271931457,0.0
34,1,3,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-4.158271312713623,4.507110595703125,6.0,-4.582083225250244,3.6724910736083984,0.9360589104696233,0.9360589104696233,1.0,63.07896986953901,True,True,1.0,3177034,0.0,6.0,-0.8363452553749084,-0.488795131444931,0.2482054084539413,False,0,False,False,0.8711815882761074,0.7716953276243349
35,1,3,6.0,6.0,0.0,0.0,0.0,0.0,6.0,2.826400756835937,6.746881484985352,6.0,2.3244495391845703,4.568233489990234,2.235724068618025,2.235724068618025,1.0,77.02570230424976,True,True,1.0,3404117,0.0,6.0,0.1314481198787689,-0.9660154581069946,0.2225658148527145,False,0,False,False,0.3559720603706087,2.350292041931985
36,1,3,6.0,6.0,0.0,0.0,0.0,0.0,6.0,0.17242167826032,7.945733939119326,6.0,-0.0078252553939819,7.507877349853516,0.47350538524420915,0.47350538524420915,1.0,67.62511882353586,True,True,1.0,3418631,0.0,6.0,-0.4569957852363586,-0.8225034475326538,0.3385896682739258,False,1,True,False,5.551115123125783e-17,0.4509299283690669
37,1,3,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-5.397796630859375,2.486922025680542,6.0,-5.268339749212942,0.6882798470624023,1.803294976122827,1.803294976122827,1.0,94.11675236138927,True,True,1.0,3420331,0.0,6.0,-0.0171550866216421,-0.997273087501526,-0.0717783868312835,False,1,False,True,0.13023377011254822,1.1102230246251565e-16
38,1,3,6.0,6.0,0.0,0.0,0.0,0.0,6.0,2.654232491457876,7.264882387457043,6.0,1.7157421266233923,0.0,7.325249502131017,7.325249502131017,1.0,82.63919469261754,True,True,1.0,3547316,0.0,6.0,-0.3991239964962005,-0.9093408584594728,0.1174702644348144,False,2,True,True,9.930136612989092e-16,0.0
39,1,3,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-4.723941802978516,5.048308849334717,6.0,-1.1520652770996094,0.6242971420288086,5.68596355093,5.68596355093,1.0,128.91685343963178,True,True,1.0,3588423,0.0,6.0,-0.508601725101471,-0.6699097752571106,-0.5408744215965271,False,0,False,False,0.12048234237507163,0.6242971420288086
40,1,3,6.0,6.0,0.0,0.0,0.0,0.0,6.0,0.4452807009220123,2.964946985244751,6.0,0.3777352273464203,2.498021364212036,0.47178589060858683,0.47178589060858683,1.0,81.7686915209048,True,True,1.0,3682856,0.0,6.0,-0.3621598482131958,-0.922513484954834,0.1334507912397384,False,0,False,False,2.964946985244751,2.498021364212036
