trace_id,face_id,x_face,p0_x,p0_y,p0_z,p1_x,p1_y,p1_z,set_id,parent_fracture_id
191,2,3.0204701,2.981414,5.4547625,1.760084,3.059526,2.4047627,1.7287933,4,4078466
192,2,2.9289815,2.9174848,-0.99523735,1.851454,2.9404783,-2.7952373,0.0036623934,4,4080215
193,2,3.1607926,3.1566486,2.88331,0.15,3.1649365,2.8047626,0.041500207,4,4110884
194,2,3.1099558,3.177646,1.3047627,5.708822,3.0422657,-4.0452375,4.526224,4,4113548
195,2,3.0452151,3.0057287,4.9047627,3.806267,3.0847015,-2.5952373,4.3548994,4,4114882
196,2,3.0855632,3.024379,5.3547626,3.733984,3.1467474,2.1547627,0.036197502,4,4114994
197,2,3.052035,3.0694005,2.9547627,7.0921297,3.0346696,-4.445237,5.671785,4,4127457
198,2,3.0193217,3.0732033,-1.4452373,3.6388476,2.9654398,-5.3452373,1.0499032,4,4140642
199,2,2.875712,2.853322,-1.3452374,0.001206416,2.8981016,-2.614633,1.3,5,4289339
200,2,3.036054,3.0398762,4.1632876,0.9,3.0322316,2.0512862,2.55,5,4410729
201,2,3.026996,3.083029,-3.2952373,4.7344933,2.9709628,-4.945237,4.833552,5,4445929
202,2,3.006939,2.991702,0.545462,0.75,3.0221758,-0.5452373,2.703651,5,4449305
203,2,3.0514045,3.0510216,4.349864,5.5,3.0517871,4.2462063,5.85,5,4470783
204,2,3.0706823,3.0392132,4.054763,4.821714,3.1021514,2.8047626,5.8607144,5,4513795
205,2,3.0568583,3.0958464,1.7858617,7.65,3.0178704,-0.29523733,7.9055085,5,4647831
206,2,3.0863042,3.1306949,-1.8535047,6.35,3.0419135,-2.0454357,7.55,5,4850932
207,2,2.9820645,2.9646578,-2.540285,2.8,2.9994712,-3.612779,3.7,5,4858320
208,3,6.0485463,6.0211587,3.1299746,6.3,6.075934,3.2774665,4.4,1,87749
209,3,6.0013328,5.9921136,1.4584893,7.7,6.010552,1.3547627,7.4261055,1,395597
210,3,5.911876,5.949889,-4.9038544,2.15,5.873863,-4.9743495,0.4,1,438281
211,3,5.999379,5.986814,1.6489264,7.65,6.0119443,1.9341929,6.85,1,465773
212,3,6.0310597,6.025433,-2.1078281,7.5,6.0366864,-2.0733306,6.75,1,602883
213,3,6.098273,6.0920925,1.4626712,3.1,6.104453,1.2722284,0.05,1,724122
214,3,6.0851827,6.1150274,-1.1952373,3.5048747,6.055338,1.4547627,4.707675,2,791567
215,3,6.058438,6.0069613,-2.7452374,7.2194734,6.1099143,-1.853613,5.35,2,931180
216,3,6.013556,5.9810457,-2.6242557,3.25,6.0460668,-3.7260075,6.45,2,1317917
217,3,6.141849,6.158414,3.9833283,3.3,6.1252837,4.8577595,5.05,2,1373568
218,3,6.157292,6.156989,4.6047626,3.943442,6.1575947,4.7547626,3.9874334,2,1376986
219,3,6.043079,6.045196,-4.9952374,4.726893,6.0409617,-4.1452374,5.3200974,2,1476386
220,3,6.0066295,5.9391994,-2.0452373,0.5102776,6.0740595,-0.19523732,0.5136828,2,1744226
221,3,6.011508,5.9867277,-4.5445085,2.85,6.0362887,-5.3952374,3.5644677,2,1914182
222,3,6.0070066,5.9948792,2.1547627,7.068872,6.019134,1.7047627,6.867291,2,1993697
223,3,6.0767484,6.139186,-0.054019902,3.0,6.014311,-3.1452372,6.937687,2,2022311
