trace_id,face_id,x_face,p0_x,p0_y,p0_z,p1_x,p1_y,p1_z,set_id,parent_fracture_id,normal_x,normal_y,normal_z
218,3,6.157292,6.156989,4.6047626,3.943442,6.1575947,4.7547626,3.9874334,2,1376986,0.9528719,-0.090999946,0.28940305
219,3,6.043079,6.045196,-4.9952374,4.726893,6.0409617,-4.1452374,5.3200974,2,1476386,0.9346062,-0.20236085,0.2925087
220,3,6.0066295,5.9391994,-2.0452373,0.5102776,6.0740595,-0.19523732,0.5136828,2,1744226,0.8323613,-0.061757647,0.5507819
221,3,6.011508,5.9867277,-4.5445085,2.85,6.0362887,-5.3952374,3.5644677,2,1914182,0.83427936,-0.32486644,-0.4454658
222,3,6.0070066,5.9948792,2.1547627,7.068872,6.019134,1.7047627,6.867291,2,1993697,0.95452964,0.1635685,-0.24923576
223,3,6.0767484,6.139186,-0.054019902,3.0,6.014311,-3.1452372,6.937687,2,2022311,0.74582595,-0.53532225,-0.3964514
224,3,6.125957,6.150922,2.214355,1.7,6.1009917,1.0047626,3.4500132,2,2065645,0.80272156,-0.50114733,-0.3232483
225,3,6.059534,6.05677,-1.3869683,7.1,6.062298,-1.366339,7.75,2,2104618,0.9223439,-0.3863607,0.002664505
226,3,6.1643386,6.181498,3.5843651,0.05,6.147179,5.0367064,4.65,2,2451116,0.83035314,-0.52967554,0.17308229
227,3,6.0322556,6.0378056,-1.2452374,0.032824554,6.0267053,-1.2592524,0.1,3,2631257,-0.811932,-0.55398625,-0.1840261
228,3,6.0135703,6.0171113,-2.9629576,6.8,6.0100293,-3.0283043,7.0,3,2633357,-0.3320249,-0.89312404,-0.30346164
229,3,6.112049,6.084792,0.26809445,1.45,6.139306,0.1738867,3.5,3,2634723,-0.6936163,-0.7201891,-0.014971188
230,3,6.0212207,6.0294976,2.8377256,5.8,6.0129433,3.4047627,6.702689,3,2640181,-0.18650475,-0.83351177,0.5200712
231,3,6.0881834,6.175752,2.8238585,0.05,6.0006146,1.2820868,7.75,3,2673183,-0.49852937,-0.847721,-0.18121165
232,3,6.038733,6.04347,2.8936827,4.85,6.0339956,3.7719865,6.4,3,2702283,-0.67911536,-0.64052504,0.35851088
233,3,6.1030173,6.083274,0.24882984,0.35,6.122761,-0.06690247,2.55,3,2703596,-0.2587143,-0.95679325,-0.13271642
234,3,6.017758,5.9969625,-4.96058,2.95,6.0385528,-5.3551807,3.6,3,2861386,-0.21463987,-0.84075284,-0.4970557
235,3,5.9777255,5.9237204,-2.746913,0.05,6.03173,-1.2670056,2.3,3,2883837,-0.7707541,-0.5144436,0.37588018
236,3,6.0923615,6.093264,0.4319483,0.05,6.0914593,0.5695998,1.7,3,2927405,-0.5711547,-0.8180501,0.06764892
237,3,6.0649276,6.015978,-1.7509295,3.0,6.113878,-1.8114983,4.9,3,2955522,-0.6629148,-0.7486298,0.009867151
238,3,5.9274764,5.891454,-3.6952374,0.046659466,5.9634986,-4.8721642,2.4,3,3113970,-0.8831846,-0.42991418,-0.18750656
239,3,6.019111,6.019273,-4.549163,3.8,6.01895,-4.2450824,4.4,3,3177034,-0.83634526,-0.48879513,0.24820541
240,3,6.0210204,6.0389686,2.348597,4.65,6.0030723,2.8160236,6.7,3,3404117,0.13144812,-0.96601546,0.22256581
241,3,6.0533776,6.0550084,-0.045237325,7.491157,6.0517473,0.12529892,7.9,3,3418631,-0.4569958,-0.82250345,0.33858967
242,3,5.941029,5.9010143,-5.2674556,0.7,5.981044,-5.3952374,2.4558313,3,3420331,-0.017155087,-0.9972731,-0.07177839
243,3,6.0495243,6.1206527,1.6689451,0.05,5.978396,2.6617799,7.25,3,3547316,-0.399124,-0.90934086,0.117470264
244,3,6.0239553,6.0079126,-1.1799222,0.65,6.039998,-4.7147655,5.0,3,3588423,-0.5086017,-0.6699098,-0.5408744
245,3,6.188175,6.195936,3.3512468,0.8,6.1804147,3.4886818,2.15,3,3829625,-0.70056003,-0.71066445,0.06458884
246,3,6.125554,6.1552787,5.304763,3.8800235,6.09583,0.10476267,0.034981124,4,3878550,0.28064314,0.56850064,-0.7733346
247,3,6.081427,6.170423,-0.5952373,4.369296,5.9924316,-2.3952372,3.378279,4,3884857,-0.22156143,0.48690853,-0.844885
248,3,6.026862,6.008852,-2.579455,7.3,6.0448723,-5.3525634,3.75,4,3884933,0.34461397,0.7413616,-0.5758682
249,3,5.9935102,6.0202274,-3.088354,4.7,5.9667926,-5.497962,1.95,4,3885537,-0.2949251,0.72161865,-0.62632716
250,3,5.981693,5.993144,-4.036759,3.0,5.9702415,-5.534755,2.05,4,3909829,-0.0017708703,0.53558135,-0.8444818
251,3,6.056775,6.078397,4.4047627,5.7178907,6.0351534,2.6047628,5.0396495,4,3930309,-0.32522297,0.34024343,-0.88230634
252,3,5.9626126,6.057124,-0.9363226,2.05,5.868101,-5.0952373,0.20676936,4,3931480,-0.059814893,0.40674034,-0.9115835
253,3,6.043054,5.978356,2.6047628,7.257348,6.107753,-1.0952374,6.2368956,4,3933064,-0.016284097,0.26531777,-0.96402353
254,3,6.0139585,5.984362,1.6547626,7.665635,6.043555,-5.2952375,3.8857117,4,3934136,0.17523141,0.47157723,-0.8642389
255,3,6.054924,6.064322,-0.24523732,7.9116445,6.045526,-5.0952373,4.5122647,4,3938383,-0.40469712,0.5259121,-0.7480887
256,3,6.061407,6.0595703,4.1912904,6.0,6.063244,-1.0408223,2.35,4,3942815,-0.049945775,0.5714164,-0.819139
257,3,6.0497117,6.038681,-2.4952374,6.3060684,6.0607424,-4.2952375,5.897516,4,3945818,0.2939684,0.2149611,-0.9313293
258,3,6.0913897,6.0941005,4.554763,5.4553833,6.0886784,1.6047627,3.1673317,4,3949402,0.086918645,0.61045116,-0.7872703
259,3,6.060775,6.025808,3.1273344,6.15,6.0957417,0.004762674,0.022584205,4,3964077,0.0145775685,0.89094853,-0.45387024
260,3,6.0013514,6.005426,-4.7352,3.2,5.9972763,-5.505075,2.7,4,3967207,-0.27636102,0.5257741,-0.8044788
261,3,6.1290264,6.0751247,5.5047626,1.9180197,6.1829276,3.2547626,0.031184183,4,3973543,0.2034173,0.6348491,-0.7453778
262,3,5.912548,5.915841,-2.9353302,0.1,5.9092555,-3.2452374,0.0020041717,4,3980593,0.44473234,0.26084653,-0.8568385
263,3,6.0214496,5.985987,2.8547628,7.129547,6.056912,-3.9452374,6.2433925,4,3992991,-0.3026298,0.12003308,-0.94551957
264,3,6.081796,6.0747485,4.382949,5.75,6.0888433,-0.44523734,0.028544635,4,4000087,0.03907703,0.76369965,-0.6443879
265,3,6.0305715,6.157484,5.304763,3.9742842,5.903659,-5.2952375,0.7834497,4,4002460,0.38612148,0.25744408,-0.885795
266,3,5.982567,6.0497513,0.1874131,7.9,5.9153824,-2.5952373,0.41909957,4,4007496,0.3179518,0.88674986,-0.3355314
267,3,5.959631,5.9824886,1.8197784,7.6,5.936774,-2.4952374,0.041036267,4,4018219,0.43005288,0.7830122,-0.44938445
268,3,6.087472,6.0563235,1.4047626,4.7901707,6.118621,0.35476267,4.284985,4,4029604,0.14469749,0.43594074,-0.88826704
269,3,6.1316795,6.168374,2.4384081,1.35,6.0949855,0.6547627,0.033041634,4,4032961,-0.1266457,0.5926918,-0.79541016
270,3,5.918439,5.9306273,-2.2952373,2.2542014,5.9062505,-5.2952375,0.8126124,4,4037148,-0.06380547,0.43265045,-0.8993011
271,3,6.0006833,5.9893456,2.9547627,7.0728693,6.0120215,-3.0952373,6.9621086,4,4068000,-0.14042372,0.017586663,-0.9899353
272,3,6.1493745,6.151806,5.054763,4.5529175,6.1469426,3.0547626,2.5915105,4,4075733,-0.016933672,0.7001151,-0.71382916
273,3,6.0480585,6.147179,5.0047626,4.682581,5.948938,-5.445237,1.5082512,4,4078059,0.53043395,0.23709075,-0.81389666
274,3,6.136654,6.0812044,5.4547625,1.7483568,6.1921034,3.3047626,1.726085,4,4078466,-0.0037835897,0.010164472,-0.9999412
275,3,6.0174656,6.1238027,-0.5452373,2.773079,5.911128,-3.1952374,0.017241357,4,4080215,0.099248774,0.71338207,-0.6937116
276,3,6.0804996,6.140072,-0.045237325,4.933773,6.020928,-2.7229214,4.35,4,4113548,-0.15336624,0.2169366,-0.9640629
277,3,6.148638,6.1360865,5.4047627,3.417648,6.1611886,2.4547627,0.019281559,4,4114994,-0.078513384,0.7525545,-0.65383285
278,3,5.9831324,6.102521,0.7887344,3.95,5.863744,-5.049855,0.1,4,4140642,-0.311821,0.53185946,-0.78733295
279,3,6.1057706,6.1116586,0.15476267,5.704144,6.099882,-1.3226275,6.2,5,4362767,-0.8005918,-0.18539958,-0.56980675
280,3,6.0919323,6.1128707,-1.0452373,3.2298648,6.0709934,-2.1952374,4.7289724,5,4444702,-0.793852,-0.47140798,-0.38415307
281,3,6.0424805,6.072476,-0.72308534,7.8,6.012485,-2.4952374,7.1953206,5,4480390,-0.91025084,0.1605709,-0.38165483
282,3,6.089962,6.09583,0.10476267,0.021431277,6.084094,-0.09523733,0.2846777,5,4512519,-0.6310767,-0.6033975,-0.4874974
283,3,6.0329065,6.0300207,2.8547628,5.836247,6.0357924,1.3547627,6.7511435,5,4518878,-0.70137686,-0.37330237,-0.60721976
284,3,6.0479827,6.069506,-0.7846199,0.05,6.0264587,-0.94523734,0.86846304,5,4595607,-0.81724674,-0.55564874,-0.15284725
285,3,6.1151423,6.1019936,5.304763,0.8145202,6.128291,5.054763,0.96210116,5,4732521,-0.7610867,-0.38726762,-0.5203564
286,3,6.1139107,6.160305,4.0399184,3.25,6.067516,1.6047627,4.008166,5,4754383,-0.82457113,-0.13884847,-0.5484556
287,3,6.002084,5.979056,-2.4452374,3.190252,6.0251117,-3.906415,4.9,5,4765651,-0.5813578,-0.62576133,-0.52004415
288,3,6.026767,6.0304995,-2.0105085,7.15,6.0230346,-2.1633766,7.45,5,4773569,-0.6429654,-0.6757996,-0.3604032
289,4,9.022736,9.049429,-0.9572529,7.85,8.996042,-1.1656814,6.6,1,13209,0.023705825,0.98592407,-0.16550454
290,4,8.977018,8.995448,-4.014396,3.95,8.95859,-3.7986193,1.5,1,135020,-0.23500153,0.9679526,0.08855542
