set_id,cx,cy,cz,nx,ny,nz,radius,adoption,radius_status,arc_deg,n_traces,n_faces,residual_m
3,0.0,3.4542298316955566,-3.1869670152664185,0.7685900662545829,0.5015414184884059,-0.3971467179713484,0.6308580200620091,deterministic_disc,shrinkage,0.0,1,1,3.940793156181299e-08
3,-0.060189005322720535,3.6782791959464483,-1.2153222450787444,0.35248940451757393,0.80744017796434,0.4730661462330202,2.4540915581273763,deterministic_disc,determined,177.0,3,3,5.241762873885014e-08
3,0.0,-0.4445120841264725,-3.4466954469680786,0.5404353655536764,0.8095781083806814,0.22915693768599238,0.6707455908784424,deterministic_disc,shrinkage,0.0,1,1,2.450863474159355e-09
3,0.0,-1.4884363412857056,-0.9127573296427727,0.5349598521781808,0.8379312149528467,-0.1081167681959888,0.9170808717785907,deterministic_disc,shrinkage,0.0,1,1,3.940491813491871e-08
3,0.6690880151943812,-1.4226433067593287,-2.281439596133998,0.2855609840452387,0.8149328756237988,-0.5043206644771173,1.437504303976364,deterministic_disc,determined,238.1,3,3,2.9362100858920433e-08
3,0.0,-1.6986491084098816,-3.832414150238037,0.5799669530634565,0.8089300264705214,0.09628367270047564,0.5,deterministic_disc,shrinkage,0.0,1,1,3.641222376717682e-08
3,1.0698020353265454,-1.4148800173147476,1.7418084980286457,0.3797147174447206,0.8629826194676196,-0.33328326068478403,1.2493245298659401,deterministic_disc,determined,287.2,3,3,9.039937581596353e-09
3,0.5,4.1177462339401245,-3.790862202644348,0.016205543451293967,0.9990280630974677,-0.040991578466439416,0.5,deterministic_disc,shrinkage,0.0,2,2,1.1867681048566931e-07
3,0.0,-4.65505576133728,-3.925064206123352,0.7803288741015307,0.5761309297704359,-0.24322828783940925,0.5,deterministic_disc,shrinkage,0.0,1,1,2.693289872549477e-08
3,0.5,-3.7127395272254944,-3.8979990482330322,0.04873843976943554,-0.983813283909417,0.1724412563518661,0.5,deterministic_disc,shrinkage,0.0,2,2,3.5764412166470245e-08
3,0.5,-1.6658658385276794,2.917187601327896,0.4977625228031175,0.8426661176925401,0.20529560391215926,1.162033958465207,deterministic_disc,shrinkage,0.0,2,2,1.0719883343527422e-08
3,0.3224900976630738,1.1971400773602914,-2.888515260640597,0.7744365061708918,0.43230727847878436,-0.4619074743756471,1.2961068087148062,deterministic_disc,determined,226.3,2,2,6.836555258152773e-09
3,1.0,1.6731903155644734,2.3633271753787994,0.5509243708749001,0.7717687600429068,-0.3175772639814283,1.5735653526559816,deterministic_disc,shrinkage,66.4,3,3,4.9456909825618854e-08
3,0.5,-1.2484307456761599,3.2141902446746826,0.7082832500830208,0.5771867554407263,-0.40643607983991803,1.1300288355748345,deterministic_disc,shrinkage,0.0,2,2,3.279004390363246e-09
3,0.5757535811250375,-2.323334000305623,0.49377212200833304,0.4925529712513516,0.6968682077552978,-0.5213120673180167,1.2001514825593549,deterministic_disc,determined,227.9,2,2,1.3936192344420979e-08
4,1.5,-2.8226558146998286,1.6077870950102806,0.1292256098393647,-0.6572143847068399,0.7425429242111558,3.7557251771318674,orientation_only,lower_bound,0.0,4,4,6.38910711994621e-08
4,1.5,2.735381245147437,-2.471234977245331,0.06311370423978208,-0.48299448140313966,0.8733458600527316,3.264956579861625,orientation_only,lower_bound,0.0,4,4,2.8840814854536498e-08
4,0.7741057214231946,-1.4055082786992432,-0.6314175077267968,0.02421082732803821,-0.5313090015901608,0.8468320852857186,1.7710044394860454,deterministic_disc,determined,231.9,3,3,4.2328940634394976e-08
4,0.5,-3.1096295416355133,-1.8771671205759048,0.4200885358422343,-0.34573318369208195,0.8390436149259852,2.4882214833273752,orientation_only,lower_bound,54.2,2,2,5.664148928637263e-08
4,1.5,1.3002632409334183,-1.3752185441553593,0.3711072087829978,0.51954406877072,-0.7696449832191838,4.651653140334136,orientation_only,lower_bound,0.0,4,4,2.5199038823238116e-08
4,0.5,4.507533431053162,0.22476588655263186,0.0265055920854832,0.16615547467054026,-0.9857432788638254,1.0798692225245843,orientation_only,lower_bound,0.0,2,2,4.506893679907264e-09
4,1.5,3.7588578164577484,1.5762083008885384,0.3688004659177353,0.47118078924469997,-0.8012333493967929,0.9834140190853038,orientation_only,lower_bound,19.1,4,4,2.505363535717562e-08
4,0.0,-3.3002090454101562,-0.8860116899013519,0.3558057260786994,0.11884176026782489,-0.9269729884446766,1.478105028602496,orientation_only,lower_bound,0.0,1,1,6.375184856042835e-09
4,0.0,4.790730953216553,1.1418085098266602,0.21397547372861622,0.051861632491771635,-0.9754613614684606,0.5,orientation_only,lower_bound,0.0,1,1,1.765825881313156e-08
4,1.5,-2.905812540324405,0.0473518893122673,0.14887877960552767,-0.44161444677610273,0.8847665168742572,3.340615100749964,orientation_only,lower_bound,14.5,4,4,3.4340201028309e-08
4,1.5,-2.686215855181217,1.8438383536413312,0.3992098978165162,-0.5867873513430987,0.704494188612708,3.675298608323435,orientation_only,lower_bound,0.0,4,4,1.7334648807888504e-08
4,1.5,0.3735498785972595,-0.49382296204566956,0.0663130075117809,0.7756494915224379,-0.6276706551494392,4.505552300435267,orientation_only,lower_bound,0.0,4,4,1.9275253043415005e-08
4,0.0,-2.7710884511470795,0.42778658866882324,0.7369081374813109,0.41032722574702624,-0.537213146455459,2.716797573555702,orientation_only,lower_bound,0.0,1,1,6.461346218522139e-08
4,1.5,-5.144197106361389,-0.6822348013520241,0.15693464400481036,0.2670188395522275,0.950827248681518,0.5,orientation_only,lower_bound,9.2,4,4,1.8203574309461418e-08
4,1.5,-2.5062267929315567,1.8760165981948376,0.029708509762676857,0.48765534888908535,-0.8725306098627975,3.596618482282395,orientation_only,lower_bound,16.5,4,4,5.5692693261393315e-08
4,0.0,4.9188690185546875,-3.9918744564056396,0.15420055064034724,-0.06418099864003221,0.9859528333524794,0.5,orientation_only,lower_bound,0.0,1,1,2.1078704560075957e-08
4,1.5,2.6771100615151227,-3.2497273981571198,0.18107595735378199,-0.35366220493042405,0.917678888540083,2.229520136950108,orientation_only,lower_bound,28.3,4,4,4.8151417863915634e-08
4,1.5,1.6375673115253448,3.551674783229828,0.033624700312568846,0.3563172755449713,-0.9337598078077141,0.5,orientation_only,lower_bound,13.5,4,4,6.245376369948096e-08
4,1.5,-1.541383057832718,0.05196678638458252,0.0460250151163458,-0.6821766967674785,0.7297373858936871,5.088974761230762,orientation_only,lower_bound,0.0,4,4,8.672445758039769e-08
4,0.0,5.3443732261657715,-2.801030993461609,0.1672845956822965,-0.519245215678596,0.8380932346954598,0.5,orientation_only,lower_bound,0.0,1,1,2.6117895822575585e-08
4,1.0,4.3642070690790815,-3.2682074507077536,0.42350248786481637,0.5102329097880272,-0.748537253943686,1.8649071404398354,orientation_only,lower_bound,0.0,3,3,5.0691738610116314e-08
4,0.0,2.475189194083214,0.5762346535921097,0.2055438156137746,-0.3260380320153446,0.9227409937476994,2.328156473184718,orientation_only,lower_bound,0.0,1,1,1.4107759346971544e-09
4,0.0,4.975216865539551,-3.940565586090088,0.2507731308765845,-0.4845983665303105,0.8380198446257167,0.5,orientation_only,lower_bound,0.0,1,1,3.2416124765243754e-08
4,1.0,1.1076669842004776,-3.7619429429372153,0.7123223664381763,0.5566435611569921,-0.4274865987307421,0.5,orientation_only,lower_bound,19.0,3,3,1.0240738277486749e-08
4,1.5,3.8055137991905212,0.6824396252632141,0.12344857120821386,-0.37442087850092615,0.9190046006463979,1.7591023990970545,orientation_only,lower_bound,32.5,4,4,4.611231235738489e-08
4,0.0,-2.427838511765003,-0.12213413510471582,0.34639680958923297,-0.05173921298189392,-0.936660186058111,2.2924205566226297,orientation_only,lower_bound,0.0,1,1,7.990101009494046e-09
4,0.0,1.8678607940673828,2.6074535846710205,0.20907738513183055,-0.6432542711178213,0.7365531818647699,1.0153832638354274,orientation_only,lower_bound,0.0,1,1,6.512436720437063e-09
4,1.0908086893149884,-3.6800971059157814,-1.0091117620766485,0.16177002179038605,0.3010122421607517,-0.9397989626081182,1.6885483588364396,deterministic_disc,determined,246.1,3,3,3.8964608557971426e-08
4,1.5,0.2940360903739929,-1.7343497388064861,0.05267530903930956,0.5259662869358376,-0.8488726505339546,4.6078482643513095,orientation_only,lower_bound,28.9,4,4,3.718465078588846e-08
4,1.5,1.4864824414253235,-1.1060633659362793,0.2116447481271444,0.6922906466585798,-0.6898841650155795,4.265063458800984,orientation_only,lower_bound,0.0,4,4,5.654966174883837e-08
4,1.5,1.1063960269093513,-1.9615738317370415,0.3782274259747171,-0.9199735496315349,0.10292075698756639,3.3374744647345587,orientation_only,lower_bound,14.4,4,4,2.74801009573513e-08
4,1.5,1.1372391879558563,-1.0615074634552002,0.15540685454245962,-0.6715523018855101,0.7244765112779652,4.453768793577999,orientation_only,lower_bound,0.0,4,4,6.727411924877856e-08
4,1.5,1.3505208119750023,-0.6632563918828964,0.04000327680300041,0.6981079218521112,-0.7148741618581198,4.371427841544917,orientation_only,lower_bound,75.4,4,4,6.647869272655633e-08
5,0.574420558261926,-4.056433951472912,-0.25500891258123426,0.7172899573842931,0.4025198799798465,0.5687467479086354,0.8757645046839032,deterministic_disc,determined,199.4,2,2,0.05535822799984286
5,0.0,1.682583749294281,0.9824608117341995,0.8633823402133274,0.38407051595994046,0.32720142630805166,0.7247650244518531,deterministic_disc,shrinkage,0.0,1,1,8.258207457360112e-09
5,0.0,3.0528786182403564,-1.7756667733192444,0.8820632205683097,0.24860126077666767,0.4002023089150198,0.5558549718403788,deterministic_disc,shrinkage,0.0,1,1,7.939926155464033e-09
5,0.0,4.424960613250732,-3.7848589420318604,0.7994430054948899,0.5917076460913646,0.10379278646569796,0.5,deterministic_disc,shrinkage,0.0,1,1,3.549467914959846e-08
5,0.0,1.2354230284690857,3.1538593769073486,0.6966084139335159,0.6216173080502903,0.35822987029188674,0.5216239983603298,deterministic_disc,shrinkage,0.0,1,1,2.150841250539172e-08
5,0.0,5.486771583557129,-1.5974897146224976,0.8383998130319148,0.456072352417541,0.29846903167394223,0.5,deterministic_disc,shrinkage,0.0,1,1,1.7130893737319104e-08
5,0.0,3.0515079498291016,1.2120311707258224,0.5354689112432109,0.42689165060868134,0.7287225560750852,0.8610118831067095,deterministic_disc,shrinkage,7.2,2,1,0.023871728925788108
5,0.0,-5.03081202507019,-2.5192086696624756,0.7661004234602841,0.24595602396506594,0.5937977563525053,0.5626664292443022,deterministic_disc,shrinkage,0.0,1,1,4.0570339078864125e-08
5,0.0,0.5384381003677845,1.772800326347351,0.8275230714872979,0.18037707023216987,0.5316668869608934,0.565299422250748,deterministic_disc,shrinkage,0.0,1,1,1.243583152225557e-08
5,0.5,0.2995605915784836,2.8925510942935944,0.48804435046442884,0.5947643737231781,0.6388020442433083,1.6999392291434536,deterministic_disc,shrinkage,0.0,2,2,3.999806856913521e-09
5,0.0,-2.928791880607605,1.8804525136947632,0.6769937075045224,0.5671692917565085,0.469039992418239,0.5,deterministic_disc,shrinkage,0.0,1,1,7.183668550201679e-09
5,0.0,0.49685244262218475,-2.4123106002807617,0.5682650193472977,0.73695838256854,0.36601531408969346,0.6471309055928693,deterministic_disc,shrinkage,0.0,1,1,1.6397267509777806e-08
5,0.0,-1.9319327473640442,2.338651180267334,0.8578036252067277,0.3178884620027718,0.40388100513357666,0.5,deterministic_disc,shrinkage,0.0,1,1,1.8609202734328037e-09
5,0.0,4.158846139907837,-2.452874720096588,0.5169496621884004,0.7995358837958197,0.3057865551101554,0.7165775689170931,deterministic_disc,shrinkage,0.0,1,1,5.847838930746325e-08
